"Disease","Report Year","Age Group (year)","Case Count","Case rate per 100,000"
"Arboviral diseases",2006,"25–29",3,1.2
"Toxic shellfish poisoning",2006,"25–29",0,0
"Invasive pneumococcal disease",2006,"25–29",0,0
"Brucellosis",2006,"25–29",0,0
"Rubella",2006,"25–29",0,0
"Cryptosporidiosis",2006,"25–29",38,15.4
"Mpox",2006,"25–29",0,0
"Meningoencephalitis - primary amoebic",2006,"25–29",0,0
"Yersiniosis",2006,"25–29",23,9.3
"Q fever",2006,"25–29",0,0
"Acute gastroenteritis",2006,"25–29",44,17.8
"VTEC/STEC infection",2006,"25–29",4,1.6
"Trichinosis",2006,"25–29",0,0
"Cysticercosis",2006,"25–29",0,0
"Meningococcal disease",2006,"25–29",6,2.4
"Tetanus",2006,"25–29",0,0
"Haemophilus influenzae type b",2006,"25–29",0,0
"Pertussis",2006,"25–29",48,19.4
"Listeriosis",2006,"25–29",0,0
"Rickettsial disease",2006,"25–29",0,0
"Salmonellosis",2006,"25–29",77,31.1
"Hepatitis C",2006,"25–29",6,2.4
"Cholera",2006,"25–29",0,0
"Poliomyelitis",2006,"25–29",0,0
"Hepatitis NOS",2006,"25–29",0,0
"Hepatitis B",2006,"25–29",15,6.1
"Hydatid disease",2006,"25–29",0,0
"Leprosy",2006,"25–29",2,0.8
"Brucellosis",2006,"30–34",0,0
"Campylobacteriosis",2006,"30–34",1099,403.8
"Legionellosis",2006,"30–34",1,0.4
"Cholera",2006,"30–34",0,0
"Trichinosis",2006,"30–34",0,0
"Typhoid fever",2006,"30–34",4,1.5
"Tuberculosis disease",2006,"30–34",31,11.4
"Q fever",2006,"30–34",0,0
"Hepatitis A",2006,"30–34",8,2.9
"Hepatitis C",2006,"30–34",5,1.8
"Rheumatic fever",2006,"30–34",1,0.4
"Malaria",2006,"30–34",4,1.5
"Tetanus",2006,"30–34",0,0
"Rickettsial disease",2006,"30–34",1,0.4
"Toxic shellfish poisoning",2006,"30–34",0,0
"Taeniasis",2006,"30–34",0,0
"Arboviral diseases",2006,"30–34",2,0.7
"Poliomyelitis",2006,"30–34",0,0
"Cryptosporidiosis",2006,"30–34",42,15.4
"Measles",2006,"30–34",0,0
"Pertussis",2006,"30–34",81,29.8
"Meningoencephalitis - primary amoebic",2006,"30–34",0,0
"Mumps",2006,"30–34",0,0
"Hepatitis NOS",2006,"30–34",0,0
"Diphtheria",2006,"30–34",0,0
"Leptospirosis",2006,"30–34",10,3.7
"Giardiasis",2006,"30–34",136,50
"Hepatitis B",2006,"30–34",6,2.2
"Rubella",2006,"30–34",0,0
"Cysticercosis",2006,"30–34",0,0
"Hydatid disease",2006,"30–34",0,0
"VTEC/STEC infection",2006,"30–34",1,0.4
"Listeriosis",2006,"30–34",0,0
"Paratyphoid fever",2006,"30–34",3,1.1
"Leprosy",2006,"30–34",0,0
"Shigellosis",2006,"30–34",5,1.8
"Haemophilus influenzae type b",2006,"30–34",0,0
"Rabies and other lyssaviruses",2006,"30–34",0,0
"Mpox",2006,"30–34",0,0
"Yersiniosis",2006,"30–34",32,11.8
"Meningococcal disease",2006,"30–34",3,1.1
"Salmonellosis",2006,"30–34",68,25
"Acute gastroenteritis",2006,"30–34",60,22
"Invasive pneumococcal disease",2006,"30–34",0,0
"Q fever",2006,"35–39",0,0
"Malaria",2006,"35–39",6,2
"Legionellosis",2006,"35–39",3,1
"Tetanus",2006,"35–39",0,0
"Paratyphoid fever",2006,"35–39",0,0
"Hepatitis A",2006,"35–39",9,3
"Rheumatic fever",2006,"35–39",2,0.7
"Measles",2006,"35–39",0,0
"Trichinosis",2006,"35–39",0,0
"Rickettsial disease",2006,"35–39",3,1
"Hepatitis NOS",2006,"35–39",0,0
"Taeniasis",2006,"35–39",0,0
"Diphtheria",2006,"35–39",0,0
"Meningoencephalitis - primary amoebic",2006,"35–39",0,0
"Haemophilus influenzae type b",2006,"35–39",0,0
"Typhoid fever",2006,"35–39",3,1
"Arboviral diseases",2006,"35–39",0,0
"Leptospirosis",2006,"35–39",13,4.3
"Hydatid disease",2006,"35–39",0,0
"Hepatitis C",2006,"35–39",1,0.3
"Pertussis",2006,"35–39",80,26.7
"Cholera",2006,"35–39",0,0
"Poliomyelitis",2006,"35–39",0,0
"Giardiasis",2006,"35–39",153,51.1
"Salmonellosis",2006,"35–39",64,21.4
"Tuberculosis disease",2006,"35–39",27,9
"Brucellosis",2006,"35–39",0,0
"Yersiniosis",2006,"35–39",34,11.4
"Cryptosporidiosis",2006,"35–39",48,16
"Rabies and other lyssaviruses",2006,"35–39",0,0
"Campylobacteriosis",2006,"35–39",1122,374.9
"Cysticercosis",2006,"35–39",0,0
"Shigellosis",2006,"35–39",15,5
"Mumps",2006,"35–39",7,2.3
"Listeriosis",2006,"35–39",1,0.3
"Mpox",2006,"35–39",0,0
"VTEC/STEC infection",2006,"35–39",3,1
"Hepatitis B",2006,"35–39",7,2.3
"Meningococcal disease",2006,"35–39",1,0.3
"Acute gastroenteritis",2006,"35–39",76,25.4
"Leprosy",2006,"35–39",1,0.3
"Toxic shellfish poisoning",2006,"35–39",1,0.3
"Invasive pneumococcal disease",2006,"35–39",0,0
"Rubella",2006,"35–39",1,0.3
"Measles",2006,"40–44",0,0
"Tetanus",2006,"40–44",0,0
"Brucellosis",2006,"40–44",0,0
"Trichinosis",2006,"40–44",0,0
"Rickettsial disease",2006,"40–44",1,0.3
"Typhoid fever",2006,"40–44",7,2.3
"Taeniasis",2006,"40–44",0,0
"Diphtheria",2006,"40–44",0,0
"Hepatitis A",2006,"40–44",8,2.6
"Hydatid disease",2006,"40–44",0,0
"Paratyphoid fever",2006,"40–44",1,0.3
"Leptospirosis",2006,"40–44",13,4.2
"Pertussis",2006,"40–44",77,24.9
"Cryptosporidiosis",2006,"40–44",32,10.3
"Hepatitis NOS",2006,"40–44",0,0
"Giardiasis",2006,"40–44",103,33.3
"Rabies and other lyssaviruses",2006,"40–44",0,0
"Rheumatic fever",2006,"40–44",0,0
"Tuberculosis disease",2006,"40–44",29,9.4
"Meningoencephalitis - primary amoebic",2006,"40–44",0,0
"Salmonellosis",2006,"40–44",55,17.8
"Cholera",2006,"40–44",0,0
"Yersiniosis",2006,"40–44",24,7.8
"VTEC/STEC infection",2006,"40–44",2,0.6
"Rubella",2006,"40–44",0,0
"Listeriosis",2006,"40–44",2,0.6
"Mpox",2006,"40–44",0,0
"Haemophilus influenzae type b",2006,"40–44",0,0
"Hepatitis C",2006,"40–44",7,2.3
"Legionellosis",2006,"40–44",3,1
"Campylobacteriosis",2006,"40–44",1015,328
"Acute gastroenteritis",2006,"40–44",70,22.6
"Shigellosis",2006,"40–44",8,2.6
"Mumps",2006,"40–44",0,0
"Arboviral diseases",2006,"40–44",2,0.6
"Cysticercosis",2006,"40–44",0,0
"Malaria",2006,"40–44",1,0.3
"Leprosy",2006,"40–44",0,0
"Meningococcal disease",2006,"40–44",3,1
"Hepatitis B",2006,"40–44",6,1.9
"Poliomyelitis",2006,"40–44",0,0
"Toxic shellfish poisoning",2006,"40–44",0,0
"Q fever",2006,"40–44",0,0
"Invasive pneumococcal disease",2006,"40–44",0,0
"Acute gastroenteritis",2007,"0–4",39,13.8
"Hydatid disease",2007,"0–4",0,0
"Listeriosis",2007,"0–4",0,0
"Paratyphoid fever",2007,"0–4",1,0.4
"Measles",2007,"0–4",15,5.3
"Q fever",2007,"0–4",0,0
"Malaria",2007,"0–4",0,0
"Salmonellosis",2007,"0–4",319,113
"Leprosy",2007,"0–4",0,0
"Cysticercosis",2007,"0–4",0,0
"Giardiasis",2007,"0–4",281,99.5
"Hepatitis B",2007,"0–4",1,0.4
"Taeniasis",2007,"0–4",0,0
"Meningoencephalitis - primary amoebic",2007,"0–4",0,0
"Cryptosporidiosis",2007,"0–4",359,127.2
"Hepatitis C",2007,"0–4",0,0
"Pertussis",2007,"0–4",60,21.3
"Typhoid fever",2007,"0–4",7,2.5
"Legionellosis",2007,"0–4",0,0
"VTEC/STEC infection",2007,"0–4",54,19.1
"Trichinosis",2007,"0–4",0,0
"Rickettsial disease",2007,"0–4",0,0
"Mumps",2007,"0–4",23,8.1
"Toxic shellfish poisoning",2007,"0–4",0,0
"Cholera",2007,"0–4",0,0
"Haemophilus influenzae type b",2007,"0–4",9,3.2
"Shigellosis",2007,"0–4",25,8.9
"Diphtheria",2007,"0–4",0,0
"Tuberculosis disease",2007,"0–4",12,4.3
"Mpox",2007,"0–4",0,0
"Hepatitis A",2007,"0–4",0,0
"Rheumatic fever",2007,"0–4",2,0.7
"Tetanus",2007,"0–4",0,0
"Hepatitis NOS",2007,"0–4",0,0
"Campylobacteriosis",2007,"0–4",1236,437.9
"Invasive pneumococcal disease",2007,"0–4",0,0
"Meningococcal disease",2007,"0–4",50,17.7
"Arboviral diseases",2007,"0–4",1,0.4
"Poliomyelitis",2007,"0–4",0,0
"Leptospirosis",2007,"0–4",1,0.4
"Brucellosis",2007,"0–4",0,0
"Rabies and other lyssaviruses",2007,"0–4",0,0
"Rubella",2007,"0–4",9,3.2
"Yersiniosis",2007,"0–4",131,46.4
"Legionellosis",2007,"45–49",8,2.7
"Rheumatic fever",2007,"45–49",2,0.7
"Campylobacteriosis",2007,"45–49",860,285.8
"Cholera",2007,"45–49",0,0
"Taeniasis",2007,"45–49",0,0
"Leptospirosis",2007,"45–49",7,2.3
"Hepatitis B",2007,"45–49",6,2
"Q fever",2007,"45–49",0,0
"Malaria",2007,"45–49",3,1
"Haemophilus influenzae type b",2007,"45–49",1,0.3
"Hepatitis C",2007,"45–49",2,0.7
"Acute gastroenteritis",2007,"45–49",56,18.6
"VTEC/STEC infection",2007,"45–49",3,1
"Cysticercosis",2007,"45–49",0,0
"Toxic shellfish poisoning",2007,"45–49",0,0
"Rubella",2007,"45–49",0,0
"Poliomyelitis",2007,"45–49",0,0
"Brucellosis",2007,"45–49",1,0.3
"Typhoid fever",2007,"45–49",1,0.3
"Pertussis",2007,"45–49",25,8.3
"Tetanus",2007,"45–49",0,0
"Tuberculosis disease",2007,"45–49",16,5.3
"Paratyphoid fever",2007,"45–49",1,0.3
"Hepatitis NOS",2007,"45–49",0,0
"Rickettsial disease",2007,"45–49",0,0
"Trichinosis",2007,"45–49",0,0
"Yersiniosis",2007,"45–49",28,9.3
"Mumps",2007,"45–49",3,1
"Arboviral diseases",2007,"45–49",11,3.7
"Leprosy",2007,"45–49",1,0.3
"Hepatitis A",2007,"45–49",2,0.7
"Cryptosporidiosis",2007,"45–49",20,6.6
"Diphtheria",2007,"45–49",0,0
"Measles",2007,"45–49",0,0
"Mpox",2007,"45–49",0,0
"Hydatid disease",2007,"45–49",0,0
"Rabies and other lyssaviruses",2007,"45–49",0,0
"Salmonellosis",2007,"45–49",82,27.3
"Meningococcal disease",2007,"45–49",3,1
"Shigellosis",2007,"45–49",6,2
"Listeriosis",2007,"45–49",0,0
"Meningoencephalitis - primary amoebic",2007,"45–49",0,0
"Giardiasis",2007,"45–49",83,27.6
"Invasive pneumococcal disease",2007,"45–49",0,0
"Pertussis",2007,"50–54",20,7.7
"Taeniasis",2007,"50–54",1,0.4
"Acute gastroenteritis",2007,"50–54",48,18.5
"Toxic shellfish poisoning",2007,"50–54",0,0
"Tetanus",2007,"50–54",0,0
"Rabies and other lyssaviruses",2007,"50–54",0,0
"Paratyphoid fever",2007,"50–54",2,0.8
"Cryptosporidiosis",2007,"50–54",20,7.7
"VTEC/STEC infection",2007,"50–54",2,0.8
"Legionellosis",2007,"50–54",7,2.7
"Cysticercosis",2007,"50–54",0,0
"Hepatitis NOS",2007,"50–54",0,0
"Meningococcal disease",2007,"50–54",2,0.8
"Leptospirosis",2007,"50–54",5,1.9
"Cholera",2007,"50–54",0,0
"Arboviral diseases",2007,"50–54",12,4.6
"Brucellosis",2007,"50–54",1,0.4
"Mpox",2007,"50–54",0,0
"Malaria",2007,"50–54",4,1.5
"Typhoid fever",2007,"50–54",0,0
"Q fever",2007,"50–54",0,0
"Hepatitis C",2007,"50–54",5,1.9
"Campylobacteriosis",2007,"50–54",787,303.1
"Rheumatic fever",2007,"50–54",0,0
"Yersiniosis",2007,"50–54",22,8.5
"Salmonellosis",2007,"50–54",56,21.6
"Mumps",2007,"50–54",1,0.4
"Invasive pneumococcal disease",2007,"50–54",0,0
"Hepatitis A",2007,"50–54",3,1.2
"Giardiasis",2007,"50–54",66,25.4
"Hepatitis B",2007,"50–54",5,1.9
"Tuberculosis disease",2007,"50–54",16,6.2
"Leprosy",2007,"50–54",0,0
"Measles",2007,"50–54",0,0
"Shigellosis",2007,"50–54",9,3.5
"Hydatid disease",2007,"50–54",1,0.4
"Meningoencephalitis - primary amoebic",2007,"50–54",0,0
"Rickettsial disease",2007,"50–54",0,0
"Poliomyelitis",2007,"50–54",0,0
"Trichinosis",2007,"50–54",0,0
"Diphtheria",2007,"50–54",0,0
"Listeriosis",2007,"50–54",0,0
"Rubella",2007,"50–54",0,0
"Haemophilus influenzae type b",2007,"50–54",0,0
"Rabies and other lyssaviruses",2007,"55–59",0,0
"Arboviral diseases",2007,"55–59",10,4.3
"Tetanus",2007,"55–59",0,0
"Toxic shellfish poisoning",2007,"55–59",0,0
"Legionellosis",2007,"55–59",5,2.1
"Tuberculosis disease",2007,"55–59",13,5.6
"Acute gastroenteritis",2007,"55–59",37,15.8
"Q fever",2007,"55–59",0,0
"Leptospirosis",2007,"55–59",9,3.9
"VTEC/STEC infection",2007,"55–59",2,0.9
"Taeniasis",2007,"55–59",0,0
"Campylobacteriosis",2007,"55–59",750,320.9
"Cysticercosis",2007,"55–59",0,0
"Hepatitis NOS",2007,"55–59",0,0
"Mpox",2007,"55–59",0,0
"Cryptosporidiosis",2007,"55–59",14,6
"Giardiasis",2007,"55–59",70,30
"Paratyphoid fever",2007,"55–59",1,0.4
"Trichinosis",2007,"55–59",0,0
"Hydatid disease",2007,"55–59",0,0
"Typhoid fever",2007,"55–59",1,0.4
"Yersiniosis",2007,"55–59",33,14.1
"Rickettsial disease",2007,"55–59",0,0
"Leprosy",2007,"55–59",0,0
"Pertussis",2007,"55–59",18,7.7
"Shigellosis",2007,"55–59",13,5.6
"Hepatitis A",2007,"55–59",3,1.3
"Haemophilus influenzae type b",2007,"55–59",0,0
"Hepatitis C",2007,"55–59",1,0.4
"Malaria",2007,"55–59",1,0.4
"Salmonellosis",2007,"55–59",56,24
"Measles",2007,"55–59",0,0
"Mumps",2007,"55–59",1,0.4
"Cholera",2007,"55–59",0,0
"Invasive pneumococcal disease",2007,"55–59",0,0
"Hepatitis B",2007,"55–59",8,3.4
"Rubella",2007,"55–59",0,0
"Diphtheria",2007,"55–59",0,0
"Brucellosis",2007,"55–59",0,0
"Rheumatic fever",2007,"55–59",0,0
"Poliomyelitis",2007,"55–59",0,0
"Listeriosis",2007,"55–59",2,0.9
"Meningococcal disease",2007,"55–59",3,1.3
"Meningoencephalitis - primary amoebic",2007,"55–59",0,0
"Cysticercosis",2007,"60–64",0,0
"Acute gastroenteritis",2007,"60–64",26,13.7
"VTEC/STEC infection",2007,"60–64",4,2.1
"Typhoid fever",2007,"60–64",0,0
"Malaria",2007,"60–64",3,1.6
"Leptospirosis",2007,"60–64",2,1.1
"Tetanus",2007,"60–64",0,0
"Cholera",2007,"60–64",0,0
"Arboviral diseases",2007,"60–64",7,3.7
"Yersiniosis",2007,"60–64",21,11
"Hepatitis C",2007,"60–64",0,0
"Legionellosis",2007,"60–64",6,3.2
"Cryptosporidiosis",2007,"60–64",11,5.8
"Giardiasis",2007,"60–64",61,32.1
"Paratyphoid fever",2007,"60–64",0,0
"Q fever",2007,"60–64",0,0
"Trichinosis",2007,"60–64",0,0
"Brucellosis",2007,"60–64",0,0
"Salmonellosis",2007,"60–64",56,29.5
"Toxic shellfish poisoning",2007,"60–64",1,0.5
"Taeniasis",2007,"60–64",0,0
"Campylobacteriosis",2007,"60–64",680,357.8
"Shigellosis",2007,"60–64",4,2.1
"Hepatitis B",2007,"60–64",4,2.1
"Tuberculosis disease",2007,"60–64",20,10.5
"Pertussis",2007,"60–64",15,7.9
"Hepatitis A",2007,"60–64",1,0.5
"Rheumatic fever",2007,"60–64",0,0
"Measles",2007,"60–64",0,0
"Hydatid disease",2007,"60–64",2,1.1
"Rabies and other lyssaviruses",2007,"60–64",0,0
"Listeriosis",2007,"60–64",1,0.5
"Mumps",2007,"60–64",0,0
"Hepatitis NOS",2007,"60–64",0,0
"Leprosy",2007,"60–64",0,0
"Meningoencephalitis - primary amoebic",2007,"60–64",0,0
"Poliomyelitis",2007,"60–64",0,0
"Haemophilus influenzae type b",2007,"60–64",0,0
"Diphtheria",2007,"60–64",0,0
"Mpox",2007,"60–64",0,0
"Invasive pneumococcal disease",2007,"60–64",0,0
"Rickettsial disease",2007,"60–64",1,0.5
"Meningococcal disease",2007,"60–64",1,0.5
"Rubella",2007,"60–64",0,0
"Legionellosis",2007,"65–69",6,3.8
"Brucellosis",2007,"65–69",0,0
"Paratyphoid fever",2007,"65–69",0,0
"Acute gastroenteritis",2007,"65–69",35,22.3
"Leptospirosis",2007,"65–69",0,0
"Tetanus",2007,"65–69",0,0
"Cysticercosis",2007,"65–69",0,0
"Taeniasis",2007,"65–69",0,0
"Typhoid fever",2007,"65–69",0,0
"Pertussis",2007,"65–69",12,7.6
"Listeriosis",2007,"65–69",5,3.2
"Poliomyelitis",2007,"65–69",0,0
"VTEC/STEC infection",2007,"65–69",3,1.9
"Hydatid disease",2007,"65–69",0,0
"Malaria",2007,"65–69",0,0
"Yersiniosis",2007,"65–69",9,5.7
"Toxic shellfish poisoning",2007,"65–69",1,0.6
"Cholera",2007,"65–69",0,0
"Trichinosis",2007,"65–69",0,0
"Rubella",2007,"65–69",0,0
"Giardiasis",2007,"65–69",44,28
"Cryptosporidiosis",2007,"65–69",14,8.9
"Diphtheria",2007,"65–69",0,0
"Hepatitis A",2007,"65–69",1,0.6
"Rheumatic fever",2007,"65–69",0,0
"Hepatitis C",2007,"65–69",0,0
"Hepatitis NOS",2007,"65–69",0,0
"Campylobacteriosis",2007,"65–69",522,332.1
"Meningococcal disease",2007,"65–69",1,0.6
"Salmonellosis",2007,"65–69",47,29.9
"Tuberculosis disease",2007,"65–69",14,8.9
"Invasive pneumococcal disease",2007,"65–69",0,0
"Meningoencephalitis - primary amoebic",2007,"65–69",0,0
"Shigellosis",2007,"65–69",2,1.3
"Measles",2007,"65–69",0,0
"Mpox",2007,"65–69",0,0
"Rabies and other lyssaviruses",2007,"65–69",0,0
"Rickettsial disease",2007,"65–69",0,0
"Q fever",2007,"65–69",0,0
"Mumps",2007,"65–69",0,0
"Haemophilus influenzae type b",2007,"65–69",0,0
"Arboviral diseases",2007,"65–69",5,3.2
"Leprosy",2007,"65–69",0,0
"Hepatitis B",2007,"65–69",3,1.9
"Legionellosis",2007,"70–74",7,5.9
"Malaria",2007,"70–74",0,0
"VTEC/STEC infection",2007,"70–74",1,0.8
"Tetanus",2007,"70–74",1,0.8
"Toxic shellfish poisoning",2007,"70–74",0,0
"Cryptosporidiosis",2007,"70–74",7,5.9
"Trichinosis",2007,"70–74",0,0
"Paratyphoid fever",2007,"70–74",0,0
"Measles",2007,"70–74",0,0
"Hydatid disease",2007,"70–74",0,0
"Cholera",2007,"70–74",0,0
"Campylobacteriosis",2007,"70–74",424,360
"Cysticercosis",2007,"70–74",0,0
"Yersiniosis",2007,"70–74",11,9.3
"Typhoid fever",2007,"70–74",0,0
"Meningococcal disease",2007,"70–74",1,0.8
"Rubella",2007,"70–74",0,0
"Tuberculosis disease",2007,"70–74",10,8.5
"Pertussis",2007,"70–74",9,7.6
"Hepatitis A",2007,"70–74",0,0
"Brucellosis",2007,"70–74",0,0
"Mpox",2007,"70–74",0,0
"Hepatitis C",2007,"70–74",0,0
"Acute gastroenteritis",2007,"70–74",18,15.3
"Q fever",2007,"70–74",0,0
"Leptospirosis",2007,"70–74",0,0
"Mumps",2007,"70–74",1,0.8
"Invasive pneumococcal disease",2007,"70–74",0,0
"Arboviral diseases",2007,"70–74",3,2.5
"Salmonellosis",2007,"70–74",28,23.8
"Taeniasis",2007,"70–74",0,0
"Diphtheria",2007,"70–74",0,0
"Meningoencephalitis - primary amoebic",2007,"70–74",0,0
"Poliomyelitis",2007,"70–74",0,0
"Rheumatic fever",2007,"70–74",0,0
"Shigellosis",2007,"70–74",0,0
"Rabies and other lyssaviruses",2007,"70–74",0,0
"Leprosy",2007,"70–74",0,0
"Haemophilus influenzae type b",2007,"70–74",1,0.8
"Giardiasis",2007,"70–74",19,16.1
"Listeriosis",2007,"70–74",3,2.5
"Hepatitis B",2007,"70–74",0,0
"Hepatitis NOS",2007,"70–74",0,0
"Rickettsial disease",2007,"70–74",0,0
"Acute gastroenteritis",2007,"75–79",13,13
"Hepatitis C",2007,"75–79",0,0
"Paratyphoid fever",2007,"75–79",0,0
"Typhoid fever",2007,"75–79",0,0
"Measles",2007,"75–79",0,0
"Hydatid disease",2007,"75–79",0,0
"Toxic shellfish poisoning",2007,"75–79",0,0
"VTEC/STEC infection",2007,"75–79",1,1
"Trichinosis",2007,"75–79",0,0
"Legionellosis",2007,"75–79",4,4
"Tetanus",2007,"75–79",0,0
"Invasive pneumococcal disease",2007,"75–79",0,0
"Meningococcal disease",2007,"75–79",2,2
"Rubella",2007,"75–79",0,0
"Diphtheria",2007,"75–79",0,0
"Cryptosporidiosis",2007,"75–79",4,4
"Tuberculosis disease",2007,"75–79",14,14
"Hepatitis A",2007,"75–79",2,2
"Malaria",2007,"75–79",1,1
"Brucellosis",2007,"75–79",0,0
"Campylobacteriosis",2007,"75–79",342,341.6
"Q fever",2007,"75–79",0,0
"Cysticercosis",2007,"75–79",0,0
"Rabies and other lyssaviruses",2007,"75–79",0,0
"Giardiasis",2007,"75–79",16,16
"Rheumatic fever",2007,"75–79",0,0
"Salmonellosis",2007,"75–79",24,24
"Listeriosis",2007,"75–79",2,2
"Meningoencephalitis - primary amoebic",2007,"75–79",0,0
"Pertussis",2007,"75–79",9,9
"Poliomyelitis",2007,"75–79",0,0
"Shigellosis",2007,"75–79",4,4
"Taeniasis",2007,"75–79",0,0
"Hepatitis NOS",2007,"75–79",0,0
"Leprosy",2007,"75–79",0,0
"Leptospirosis",2007,"75–79",0,0
"Mpox",2007,"75–79",0,0
"Cholera",2007,"75–79",1,1
"Haemophilus influenzae type b",2007,"75–79",1,1
"Rickettsial disease",2007,"75–79",0,0
"Yersiniosis",2007,"75–79",15,15
"Hepatitis B",2007,"75–79",1,1
"Arboviral diseases",2007,"75–79",0,0
"Mumps",2007,"75–79",0,0
"Hepatitis C",2007,"80–84",1,1.4
"Acute gastroenteritis",2007,"80–84",16,22
"Cryptosporidiosis",2007,"80–84",1,1.4
"Toxic shellfish poisoning",2007,"80–84",0,0
"Hydatid disease",2007,"80–84",1,1.4
"Malaria",2007,"80–84",0,0
"Paratyphoid fever",2007,"80–84",0,0
"Tuberculosis disease",2007,"80–84",8,11
"Leprosy",2007,"80–84",0,0
"Trichinosis",2007,"80–84",0,0
"Brucellosis",2007,"80–84",0,0
"Tetanus",2007,"80–84",0,0
"Hepatitis B",2007,"80–84",0,0
"Diphtheria",2007,"80–84",0,0
"Leptospirosis",2007,"80–84",0,0
"Shigellosis",2007,"80–84",2,2.7
"Legionellosis",2007,"80–84",5,6.9
"Campylobacteriosis",2007,"80–84",229,314.6
"Measles",2007,"80–84",0,0
"Typhoid fever",2007,"80–84",1,1.4
"VTEC/STEC infection",2007,"80–84",3,4.1
"Cysticercosis",2007,"80–84",0,0
"Q fever",2007,"80–84",0,0
"Invasive pneumococcal disease",2007,"80–84",0,0
"Listeriosis",2007,"80–84",5,6.9
"Hepatitis A",2007,"80–84",0,0
"Cholera",2007,"80–84",0,0
"Giardiasis",2007,"80–84",3,4.1
"Meningoencephalitis - primary amoebic",2007,"80–84",0,0
"Rabies and other lyssaviruses",2007,"80–84",0,0
"Hepatitis NOS",2007,"80–84",0,0
"Meningococcal disease",2007,"80–84",0,0
"Pertussis",2007,"80–84",2,2.7
"Taeniasis",2007,"80–84",0,0
"Arboviral diseases",2007,"80–84",2,2.7
"Haemophilus influenzae type b",2007,"80–84",0,0
"Mumps",2007,"80–84",0,0
"Poliomyelitis",2007,"80–84",0,0
"Rubella",2007,"80–84",0,0
"Yersiniosis",2007,"80–84",9,12.4
"Mpox",2007,"80–84",0,0
"Rheumatic fever",2007,"80–84",0,0
"Salmonellosis",2007,"80–84",9,12.4
"Rickettsial disease",2007,"80–84",0,0
"Paratyphoid fever",2007,"85+",0,0
"Hepatitis C",2007,"85+",0,0
"Legionellosis",2007,"85+",2,3.4
"Mpox",2007,"85+",0,0
"Tetanus",2007,"85+",0,0
"Hydatid disease",2007,"85+",1,1.7
"Leptospirosis",2007,"85+",0,0
"VTEC/STEC infection",2007,"85+",1,1.7
"Hepatitis B",2007,"85+",1,1.7
"Diphtheria",2007,"85+",0,0
"Measles",2007,"85+",0,0
"Malaria",2007,"85+",0,0
"Brucellosis",2007,"85+",0,0
"Tuberculosis disease",2007,"85+",7,12
"Cryptosporidiosis",2007,"85+",1,1.7
"Q fever",2007,"85+",0,0
"Typhoid fever",2007,"85+",0,0
"Trichinosis",2007,"85+",0,0
"Acute gastroenteritis",2007,"85+",22,37.6
"Leprosy",2007,"85+",0,0
"Listeriosis",2007,"85+",2,3.4
"Cysticercosis",2007,"85+",0,0
"Toxic shellfish poisoning",2007,"85+",0,0
"Giardiasis",2007,"85+",2,3.4
"Shigellosis",2007,"85+",0,0
"Cholera",2007,"85+",0,0
"Hepatitis A",2007,"85+",1,1.7
"Hepatitis NOS",2007,"85+",0,0
"Rickettsial disease",2007,"85+",0,0
"Pertussis",2007,"85+",0,0
"Rabies and other lyssaviruses",2007,"85+",0,0
"Arboviral diseases",2007,"85+",0,0
"Yersiniosis",2007,"85+",8,13.7
